"Activity Period","Operating Airline","Operating Airline IATA Code","Published Airline","Published Airline IATA Code","GEO Summary","GEO Region","Activity Type Code","Price Category Code","Price Category Code_extracted",Terminal,"Boarding Area","Passenger Count"
201501,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,130
201806,"United Airlines",UA,"United Airlines",UA,International,Canada,Enplaned,Other,,International,G,131
201802,"United Airlines",UA,"United Airlines",UA,International,Europe,Enplaned,Other,,"Terminal 3",F,131
201508,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,131
201011,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,131
201506,"United Airlines",UA,"United Airlines",UA,International,Mexico,Enplaned,Other,,"Terminal 3",E,132
201612,"JetBlue Airways",B6,"JetBlue Airways",B6,Domestic,US,Enplaned,"Low Fare","Low Fare",International,G,133
201405,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Enplaned,Other,,"Terminal 1",C,133
200610,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,Domestic,US,Enplaned,Other,,International,G,133
201805,"Hong Kong Airlines Limited",HX,"Hong Kong Airlines Limited",HX,International,Asia,"Thru / Transit",Other,,International,A,134
200804,"Miami Air International",GL,"Miami Air International",GL,Domestic,US,Deplaned,Other,,International,A,136
201704,"WestJet Airlines",WS,"WestJet Airlines",WS,International,Canada,"Thru / Transit",Other,,International,G,137
201606,"JetBlue Airways",B6,"JetBlue Airways",B6,Domestic,US,Enplaned,"Low Fare","Low Fare",International,G,138
201604,"Air India Limited",AI,"Air India Limited",AI,International,Asia,Enplaned,"Low Fare","Low Fare",International,G,138
201412,"Delta Air Lines",DL,"Delta Air Lines",DL,Domestic,US,"Thru / Transit",Other,,"Terminal 1",C,138
201405,"SkyWest Airlines",OO,"Delta Air Lines",DL,Domestic,US,Deplaned,Other,,"Terminal 1",C,138
201307,"Alaska Airlines",AS,"Alaska Airlines",AS,International,Mexico,Enplaned,Other,,International,A,138
